seen_at,filing_date,transaction_date,ticker,issuer,insider_name,insider_role,officer_title,transaction_code,acquired_disposed,shares,price,dollar_value,severity,cluster_count,reasons,sector,industry,market_cap,price_now,price_now_date,accession,pdf_url,uid
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Boucher Kelley,Other C-suite,Chief People Officer,D,D,22087.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224589,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224589/,0001193125-26-224589|0002070437|2026-05-14|D|22087.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Boucher Kelley,Other C-suite,Chief People Officer,D,D,45095.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224589,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224589/,0001193125-26-224589|0002070437|2026-05-14|D|45095.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Boucher Kelley,Other C-suite,Chief People Officer,D,D,30476.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224589,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224589/,0001193125-26-224589|0002070437|2026-05-14|D|30476.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",DeLong Mark Jeffrey,Other C-suite,Chief Business & Strat Officer,D,D,19006.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224597,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224597/,0001193125-26-224597|0001856078|2026-05-14|D|19006.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",DeLong Mark Jeffrey,Other C-suite,Chief Business & Strat Officer,D,D,36606.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224597,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224597/,0001193125-26-224597|0001856078|2026-05-14|D|36606.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",DeLong Mark Jeffrey,Other C-suite,Chief Business & Strat Officer,D,D,18303.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224597,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224597/,0001193125-26-224597|0001856078|2026-05-14|D|18303.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",DeLong Mark Jeffrey,Other C-suite,Chief Business & Strat Officer,D,D,4909.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224597,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224597/,0001193125-26-224597|0001856078|2026-05-14|D|4909.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",DeLong Mark Jeffrey,Other C-suite,Chief Business & Strat Officer,D,D,8482.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224597,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224597/,0001193125-26-224597|0001856078|2026-05-14|D|8482.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",DeLong Mark Jeffrey,Other C-suite,Chief Business & Strat Officer,D,D,21381.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224597,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224597/,0001193125-26-224597|0001856078|2026-05-14|D|21381.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Nicholson Nur,Other C-suite,Chief Technical Officer,D,D,22610.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224604,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224604/,0001193125-26-224604|0001827317|2026-05-14|D|22610.0|None
